Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
4;Ean EYCKMANS;MP Motorsport;1;Turn 5;5;17:29:11.743;1;no;no
6;Lewis WHERRELL;T-Code by Amtog;1;Turn 5;11;17:42:25.143;3;no;no
6;Lewis WHERRELL;T-Code by Amtog;2;Turn 5;12;17:44:11.282;3;no;no
6;Lewis WHERRELL;T-Code by Amtog;3;Turn 5;13;17:45:57.357;3;no;no
9;René LAMMERS;MP Motorsport;1;Turn 10;5;17:29:58.154;3;no;no
9;René LAMMERS;MP Motorsport;2;Turn 5;14;17:47:41.356;3;no;no
9;René LAMMERS;MP Motorsport;3;Turn 5;15;17:49:27.438;3;no;no
11;Reno FRANCOT;KCL MP Motorsport;1;Turn 5;5;17:29:11.743;5;no;no
11;Reno FRANCOT;KCL MP Motorsport;2;Turn 10;13;17:46:26.970;5;no;no
11;Reno FRANCOT;KCL MP Motorsport;3;Turn 5;14;17:47:25.746;5;no;no
11;Reno FRANCOT;KCL MP Motorsport;4;Turn 5;15;17:49:10.615;5;no;no
11;Reno FRANCOT;KCL MP Motorsport;5;Turn 10;15;17:49:58.348;5;no;no
12;Philippe Armand KARRAS;G4 Racing;1;Turn 10;14;17:48:26.822;1;no;no
17;Nacho TUÑON;Tecnicar by Amtog;1;Turn 10;5;17:30:12.901;4;no;no
17;Nacho TUÑON;Tecnicar by Amtog;2;Turn 10;12;17:45:01.085;4;no;no
17;Nacho TUÑON;Tecnicar by Amtog;3;Turn 5;15;17:49:33.660;4;no;no
17;Nacho TUÑON;Tecnicar by Amtog;4;Turn 10;15;17:50:20.971;4;no;no
22;Juan COTA;MP Motorsport;1;Turn 5;5;17:29:13.880;2;no;no
22;Juan COTA;MP Motorsport;2;Turn 5;15;17:49:12.016;2;no;no
25;Miki BLASCOS;Monlau Motorsport;1;Turn 10;4;17:28:17.416;1;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;1;Turn 5;12;17:44:10.479;2;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;2;Turn 5;13;17:45:57.357;2;no;no
33;Christopher EL FEGHALI;Drivex;1;Turn 5;9;17:38:39.080;3;no;no
33;Christopher EL FEGHALI;Drivex;2;Turn 5;14;17:47:29.756;3;no;no
33;Christopher EL FEGHALI;Drivex;3;Turn 5;15;17:49:15.291;3;no;no
37;Filippo FIORENTINO;Drivex;1;Turn 5;5;17:29:18.613;1;no;no
39;Santino PANETTA;TC Racing;1;Turn 5;9;17:38:42.017;1;no;no
55;Emma FELBERMAYR;Rodin Motorsport;1;Turn 5;15;17:49:31.035;1;no;no
57;Kaiden HIGGINS;DXR;1;Turn 5;5;17:29:18.613;3;no;no
57;Kaiden HIGGINS;DXR;2;Turn 5;9;17:38:42.017;3;no;no
57;Kaiden HIGGINS;DXR;3;Turn 5;10;17:40:27.893;3;no;no
77;Andrej PETROVIC;T-Code by Amtog;1;Turn 5;5;17:29:18.613;2;no;no
77;Andrej PETROVIC;T-Code by Amtog;2;Turn 5;11;17:42:15.768;2;no;no
78;Alfio SPINA;TC Racing;1;Turn 5;5;17:29:22.030;2;no;no
78;Alfio SPINA;TC Racing;2;Turn 5;9;17:38:43.221;2;no;no
88;Rogerio GROTTA;TC Racing;1;Turn 10;4;17:28:24.557;2;no;no
88;Rogerio GROTTA;TC Racing;2;Turn 10;13;17:46:45.956;2;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;1;Turn 5;5;17:29:20.622;1;no;no
99;Thomas STRAUVEN;Griffin Core;1;Turn 10;11;17:42:56.958;3;no;no
99;Thomas STRAUVEN;Griffin Core;2;Turn 10;13;17:46:26.970;3;no;no
99;Thomas STRAUVEN;Griffin Core;3;Turn 10;14;17:48:12.572;3;no;no
